행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1109070,11305535,강북구,미아동,0.003267393652374079,0.0035869072696268164,0.002023366620977743,0.0027962861061497785,0.0012789990882382737,0.004185648094070007
1109071,11305545,강북구,송중동,0.003187064682217059,0.004050403483831246,0.0023403918058313984,0.003721835861322013,0.004814608448991997,0.00426352061675038
1109072,11305555,강북구,송천동,0.0033681886021889387,0.005119211918078774,0.002095629714584091,0.003838784156647878,0.0022312835578968695,0.003050007138314579
1109073,11305575,강북구,삼각산동,0.0013804303279212756,0.0035108108762499698,0.0006853338554924614,0.0027334482161239407,0.004052274338972748,0.0029526664849641136
1109060,11305590,강북구,번1동,0.003074501794098942,0.0034208787749864236,0.0016713754230887577,0.002240345329115631,0.006526694357207983,0.009519915897675505
1109061,11305600,강북구,번2동,0.0016229521868666738,0.004493146136205627,0.0005641183436366519,0.0023791123362560227,0.0037838111640158037,0.006249269945099872
1109062,11305606,강북구,번3동,0.0013328469252167987,0.006623845150757332,0.0005011795201730584,0.0026522826081739003,0.008545233512308783,0.01075938688367143
1109063,11305610,강북구,수유1동,0.002640111375861298,0.0038843749891908533,0.001053642526131267,0.0027434848235586232,0.0068762030189443825,0.004698308868382458
1109064,11305620,강북구,수유2동,0.002034318377989248,0.0034035841401280497,0.0008205357725624027,0.0029372349844716227,0.012007395400668626,0.00045425638230217136
1109065,11305630,강북구,수유3동,0.004079381395298862,0.004614208580214246,0.0018415433531940287,0.0028722152232643324,0.007544828284874886,0.0008890446339342497
1109074,11305645,강북구,우이동,0.001998502913588029,0.0028605326055750986,0.0009161095415256371,0.002888797444243373,0.002512410090163104,0.0006229801814429778
1109075,11305660,강북구,인수동,0.003112363856465945,0.005029279816815228,0.0013263774278068385,0.004300468098643269,0.00375088643501165,0.0008371296188140015
1110059,11320511,도봉구,창1동,0.002123857038992296,0.0016153188957721536,0.0007319552062062342,0.0028709061005554606,0.0037483537635497922,1.2978753780062038e-05
1110060,11320512,도봉구,창2동,0.0022251636382986015,0.0030611503699322397,0.0012937424823071975,0.0033474267665847303,0.0038116705500962416,1.2978753780062038e-05
1110061,11320513,도봉구,창3동,0.0013804303279212756,0.0028328611898017,0.0006247260995645566,0.001823171559221875,0.003160773984398744,1.2978753780062038e-05
1110062,11320514,도봉구,창4동,0.0015717872377220752,0.000926992428408859,0.0004359096291737764,0.0028002134742763935,0.0026390436632560024,0.006417993744240678
1110063,11320515,도봉구,창5동,0.0016925365177033283,0.001539222502395307,0.000582766883922161,0.002825086805744954,0.00282899402289535,1.2978753780062038e-05
1110064,11320521,도봉구,도봉1동,0.002376100238275168,0.004199137343613264,0.0008438464479192891,0.0033967370552855612,0.0023401884307567623,7.787252268037223e-05
1110065,11320522,도봉구,도봉2동,0.0021530210600047175,0.0030161843193004666,0.0007482726789560547,0.003975369292606817,0.002033735183871948,0.0011615984633155524
1110051,11320660,도봉구,쌍문1동,0.001751887858711063,0.0031614592521108102,0.0012657696718789337,0.002825959554217535,0.0017323472799108499,0.00028553258316136486
1110052,11320670,도봉구,쌍문2동,0.0017094209509210458,0.002618407717557859,0.000850839650526355,0.002428858999193144,0.002669435720798298,0.002725538293813028
